ts_code,symbol,name,k,d,j,簇
600328.SH,600328,中盐化工,78.7815247699316,59.893968386263765,116.55663753726724,0.0
600329.SH,600329,中新药业,87.8285970998515,77.21582689337664,109.05413751280123,0.0
600330.SH,600330,天通股份,85.23306470323332,77.68523851762126,100.32871707445749,0.0
600331.SH,600331,宏达股份,41.00180286698519,31.562544748733337,59.88031910348889,1.0
600332.SH,600332,白云山,56.28946483898921,51.26504695238226,66.33830061220313,1.0
600333.SH,600333,长春燃气,43.49247297555904,32.03655404579554,66.40431083508602,1.0
600335.SH,600335,国机汽车,75.0489236580446,55.01081001813969,115.1251509378544,0.0
600336.SH,600336,澳柯玛,81.82895981293932,66.47643254472501,112.53401434936792,0.0
600337.SH,600337,美克家居,59.98955032534272,54.25687704591381,71.45489688420054,2.0
600338.SH,600338,西藏珠峰,67.76095460655084,55.0756820088168,93.13149980201892,2.0
600339.SH,600339,中油工程,76.83255919620233,58.445119679579705,113.60743822944757,0.0
600340.SH,600340,华夏幸福,82.58573195885342,79.60616379744134,88.54486828167757,0.0
600343.SH,600343,航天动力,66.56380607864858,47.17023058430628,105.35095706733318,2.0
600345.SH,600345,长江通信,76.89906732377659,57.717768890552094,115.2616641902256,0.0
600346.SH,600346,恒力石化,81.8161173871789,65.6149528537536,114.2184464540295,0.0
600348.SH,600348,华阳股份,79.72707462197226,65.37848130595948,108.42426125399784,0.0
600350.SH,600350,山东高速,79.87461647418272,62.182657640936334,115.25853414067548,0.0
600351.SH,600351,亚宝药业,79.71034302622168,62.47626465810412,114.1784997624568,0.0
600352.SH,600352,浙江龙盛,88.62341482759467,88.2511844420613,89.36787559866141,0.0
600353.SH,600353,旭光电子,71.75984248482138,61.684770808488615,91.9099858374869,0.0
600354.SH,600354,敦煌种业,59.02191651728772,40.47917473831091,96.10740007524136,2.0
600355.SH,600355,精伦电子,69.38640511230751,51.62471301992736,104.90978929706785,2.0
600356.SH,600356,恒丰纸业,48.722969031663226,43.53724203687887,59.09442302123192,1.0
600358.SH,600358,国旅联合,77.02679029864301,58.19962783450225,114.68111522692452,0.0
600359.SH,600359,新农开发,47.59541816358342,33.325783502314565,76.13468748612112,1.0
600360.SH,600360,华微电子,66.74625113550866,51.54511247265437,97.14852846121724,2.0
600361.SH,600361,华联综超,29.988298421264748,35.28503791938901,19.394819425016223,1.0
600362.SH,600362,江西铜业,80.05667514429311,67.46847888328293,105.23306766631347,0.0
600363.SH,600363,联创光电,63.626570910556666,48.75753248753056,93.36464775660887,2.0
600366.SH,600366,宁波韵升,74.27234428109159,59.12980923637342,104.55741437052794,0.0
600367.SH,600367,红星发展,73.4465204732488,62.13628420392744,96.06699301189153,0.0
600368.SH,600368,五洲交通,75.3830935803181,56.88195631638311,112.38536810818808,0.0
600369.SH,600369,西南证券,75.67082204054095,58.97948812333584,109.0534898749512,0.0
600370.SH,600370,三房巷,77.86959894601063,63.82016917222735,105.96845849357716,0.0
600371.SH,600371,万向德农,64.32528735962393,47.38587831717804,98.2041054445157,2.0
600372.SH,600372,中航电子,72.36816882614308,55.82580436480141,105.45289774882642,0.0
600373.SH,600373,中文传媒,79.19948828131942,71.70601724608105,94.18643035179616,0.0
600375.SH,600375,汉马科技,69.8000518842299,50.77338129111276,107.8533930704642,2.0
600376.SH,600376,首开股份,84.47010436742717,75.53789989334467,102.33451331559218,0.0
600377.SH,600377,宁沪高速,56.26730870195316,54.96181162561268,58.878302854634114,1.0
600378.SH,600378,昊华科技,83.46540673613364,71.67510251932661,107.0460151697477,0.0
600379.SH,600379,宝光股份,62.53893616146591,43.37862491194723,100.85955866050328,2.0
600380.SH,600380,健康元,78.27099461076803,61.87811412759472,111.05675557711466,0.0
600381.SH,600381,青海春天,59.72062700346703,44.349617618369294,90.4626457736625,2.0
600383.SH,600383,金地集团,91.81157680672432,85.2358773000825,104.96297582000796,0.0
600386.SH,600386,北巴传媒,48.810607269691545,50.35329767540948,45.72522645825566,1.0
600388.SH,600388,龙净环保,85.73843046203773,85.86653707201768,85.48221724207781,0.0
600389.SH,600389,江山股份,78.0755415568256,58.71042381326281,116.80577704395115,0.0
600390.SH,600390,五矿资本,71.30055405512623,58.852375740171,96.1969106850367,0.0
600391.SH,600391,航发科技,59.44190911325961,42.524878052344846,93.27597123508914,2.0
600392.SH,600392,盛和资源,76.62081137032342,58.9532344062459,111.95596529847847,0.0
600395.SH,600395,盘江股份,77.68560619343523,56.50327950673886,120.05025956682798,0.0
600396.SH,600396,金山股份,44.66479065981255,33.941397845394704,66.11157628864822,1.0
600397.SH,600397,安源煤业,59.58260284831288,47.60331654839297,83.54117544815267,2.0
600398.SH,600398,海澜之家,80.46621216839586,75.50534063832549,90.38795522853658,0.0
600399.SH,600399,抚顺特钢,79.64296441956593,66.22371464764642,106.48146396340492,0.0
600400.SH,600400,红豆股份,87.90263738601227,74.37558793797682,114.9567362820832,0.0
600403.SH,600403,大有能源,59.392336756631096,45.61636822713263,86.94427381562802,2.0
600405.SH,600405,动力源,54.84089412353935,41.01062477366711,82.50143282328382,2.0
600406.SH,600406,国电南瑞,73.128987455036,66.78840041279294,85.81016153952211,0.0
600409.SH,600409,三友化工,78.51882120267555,62.77316419242662,110.01013522317342,0.0
600410.SH,600410,华胜天成,53.36506072426838,36.36551048766556,87.36416119747403,2.0
600415.SH,600415,小商品城,77.66032160783088,63.61736742292296,105.7462299776467,0.0
600416.SH,600416,湘电股份,67.72850476402623,51.93152214430752,99.32247000346362,2.0
