"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600213.SH","600213","亚星客车","江苏","汽车整车","扬州亚星客车股份有限公司","主板","19990831"
"600215.SH","600215","派斯林","吉林","园区开发","派斯林数字科技股份有限公司","主板","19990909"
"600216.SH","600216","浙江医药","浙江","化学制药","浙江医药股份有限公司","主板","19991021"
"600217.SH","600217","中再资环","陕西","环境保护","中再资源环境股份有限公司","主板","19991216"
"600218.SH","600218","全柴动力","安徽","农用机械","安徽全柴动力股份有限公司","主板","19981203"
"600219.SH","600219","南山铝业","山东","铝","山东南山铝业股份有限公司","主板","19991223"
"600220.SH","600220","江苏阳光","江苏","纺织","江苏阳光股份有限公司","主板","19990927"
"600221.SH","600221","*ST海航","海南","空运","海南航空控股股份有限公司","主板","19991125"
"600222.SH","600222","太龙药业","河南","中成药","河南太龙药业股份有限公司","主板","19991105"
"600223.SH","600223","鲁商发展","山东","区域地产","鲁商健康产业发展股份有限公司","主板","20000113"
"600225.SH","600225","*ST松江","天津","区域地产","天津松江股份有限公司","主板","20000127"
